                               branch                               | cnt  
 BHOPALPUR                                                          |    1
 KODARMA                                                            |    1
 Rundhi                                                             |    1
 DEHLI                                                              |    1
 Dohraduh                                                           |    1
 Bhoyapur                                                           |    1
 CH.SAMBHAJINAGAR                                                   |    1
 BBSR-KOLKATA                                                       |    1
 bhagalpur                                                          |    1
 BANIUR                                                             |    1
 A. ElectronicaNA                                                   |    1
 KOLKATA-150                                                        |    1
 Chandigarh 2                                                       |    1
 CHC                                                                |    1
 Guwahali                                                           |    1
 chandigarh - 2                                                     |    1
 HATEHAR                                                            |    1
 Inder                                                              |    1
 cuttack                                                            |    1
 KUNDLT                                                             |    1
  Ranchi - 1                                                        |    1
 Rai Baliwal                                                        |    1
 KUNDU EN                                                           |    1
 ALIGARH                                                            |    1
 dhanbad                                                            |    1
 Kondli                                                             |    1
(442 rows)

